Trial,Plot_ID,Loc,Year,%.Can.Cover,NDVI,GNDVI,SR,NDRE1,NWI2
AHR1,1,Kahlotus,2021,70.88441331,0.233066421,0.206308186,1.621529806,0.176750013,0.115893093
AHR1,2,Kahlotus,2021,65.71929142,0.220602723,0.200432822,1.578489478,0.155758019,0.109113053
AHR1,3,Kahlotus,2021,60.59925094,0.226573357,0.204789935,1.60011409,0.175440424,0.108299832
AHR1,4,Kahlotus,2021,69.35418359,0.250864012,0.220588136,1.688919163,0.175796102,0.107741876
AHR1,5,Kahlotus,2021,65.97549482,0.242155378,0.215697575,1.657273875,0.180241633,0.10396108
AHR1,6,Kahlotus,2021,53.83472609,0.245206214,0.215331607,1.668175769,0.185343556,0.104603644
AHR1,7,Kahlotus,2021,72.98466378,0.27313574,0.237095013,1.77849746,0.184481713,0.10757669
AHR1,8,Kahlotus,2021,78.18146867,0.298074384,0.256353272,1.891179931,0.184369127,0.109986369
AHR1,9,Kahlotus,2021,80.86765294,0.268221414,0.232996673,1.760307957,0.180036204,0.113369699
AHR1,10,Kahlotus,2021,68.99208663,0.24638973,0.214495065,1.67304252,0.181894939,0.108854278
AHR1,11,Kahlotus,2021,72.32403165,0.221331617,0.188713126,1.5819087,0.176522469,0.106880667
AHR1,12,Kahlotus,2021,60.88014602,0.230973576,0.19971509,1.615733615,0.170329924,0.104757731
AHR1,13,Kahlotus,2021,72.55952381,0.230742234,0.207939424,1.615038089,0.174284344,0.111612527
AHR1,14,Kahlotus,2021,30.06400602,0.214980993,0.18340731,1.560398215,0.168831489,0.107912698
AHR1,15,Kahlotus,2021,74.7700137,0.272007547,0.236686754,1.774265318,0.179841314,0.121911474
AHR1,16,Kahlotus,2021,61.11877093,0.235660776,0.206937199,1.632821304,0.181439304,0.105208428
AHR1,17,Kahlotus,2021,68.62399687,0.236786196,0.208068314,1.635666637,0.180077208,0.108717446
AHR1,18,Kahlotus,2021,69.36547178,0.26051229,0.22946815,1.729609207,0.190521591,0.118576322
AHR1,19,Kahlotus,2021,78.02782324,0.279833172,0.246706407,1.805371833,0.189943414,0.120758914
AHR1,20,Kahlotus,2021,80.48636988,0.269462659,0.235220379,1.764735461,0.179712823,0.114954053
AHR1,21,Kahlotus,2021,66.18905473,0.24025364,0.213577158,1.650348315,0.177271341,0.123964957
AHR1,22,Kahlotus,2021,53.87569832,0.251601814,0.219508646,1.698826766,0.180272398,0.107763347
AHR1,23,Kahlotus,2021,60.09289723,0.242506782,0.209226165,1.66208159,0.170172368,0.107891077
AHR1,24,Kahlotus,2021,66.33822642,0.254609011,0.224427375,1.705201691,0.186655064,0.112184197
AHR1,25,Kahlotus,2021,59.44365698,0.218411792,0.190612876,1.572139367,0.16691831,0.11320176
AHR1,26,Kahlotus,2021,50.57645058,0.280755726,0.236487645,1.819236638,0.178322773,0.099612937
AHR1,27,Kahlotus,2021,45.66772655,0.240525696,0.205600785,1.655451612,0.184436858,0.106735529
AHR1,28,Kahlotus,2021,67.79760737,0.243061362,0.21411585,1.659765721,0.186207325,0.115607927
AHR1,29,Kahlotus,2021,72.49901922,0.253536443,0.219839164,1.697256274,0.173824838,0.120706905
AHR1,30,Kahlotus,2021,64.63878327,0.226893106,0.197202712,1.602527372,0.162786824,0.109312309
AHR1,31,Kahlotus,2021,32.11908932,0.244199642,0.210727403,1.670467963,0.180793624,0.104112141
AHR1,32,Kahlotus,2021,73.38416848,0.251485421,0.220697672,1.693808507,0.176613748,0.108330342
AHR1,33,Kahlotus,2021,68.10604539,0.252028266,0.220913308,1.696052025,0.181750201,0.114241126
AHR1,34,Kahlotus,2021,46.6728972,0.224783354,0.195031059,1.596627319,0.173799635,0.113065103
AHR1,35,Kahlotus,2021,51.24463519,0.222202713,0.198343746,1.583275326,0.185365071,0.115019236
AHR1,36,Kahlotus,2021,61.00094429,0.249201238,0.214674325,1.692066307,0.172621263,0.099135436
AHR1,37,Kahlotus,2021,70.07423118,0.255712443,0.225913507,1.711684167,0.186695172,0.108155127
AHR1,38,Kahlotus,2021,65.19083969,0.237328122,0.208194286,1.641574573,0.170864376,0.110974977
AHR1,39,Kahlotus,2021,50.26036644,0.210201933,0.182596966,1.542291966,0.171147065,0.107086977
AHR1,40,Kahlotus,2021,68.12905764,0.25545249,0.226081919,1.706589546,0.184557187,0.11412748
AHR1,41,Kahlotus,2021,34.55377574,0.235060273,0.200532741,1.630998593,0.180377987,0.098456452
AHR1,42,Kahlotus,2021,54.8274525,0.257317687,0.223741821,1.721446531,0.189665296,0.108407847
AHR1,43,Kahlotus,2021,57.76501112,0.225936723,0.194227273,1.597510003,0.16600429,0.10095978
AHR1,44,Kahlotus,2021,46.44777266,0.276641545,0.236248927,1.797125456,0.180941862,0.098487992
AHR1,45,Kahlotus,2021,72.77942631,0.236851422,0.208943261,1.637291551,0.176052329,0.108621752
AHR1,46,Kahlotus,2021,65.25804039,0.242754615,0.214199943,1.662611377,0.176935022,0.116888283
AHR1,47,Kahlotus,2021,66.58521686,0.252090613,0.218531654,1.700598904,0.171085724,0.110713081
AHR1,48,Kahlotus,2021,77.93577982,0.252257926,0.220814949,1.693410722,0.184538958,0.103276977
AHR1,49,Kahlotus,2021,74.87861516,0.274473106,0.24197689,1.783814653,0.197963928,0.108808262
AHR1,50,Kahlotus,2021,72.00082169,0.232957422,0.199769313,1.621663254,0.182433765,0.10542361
AHR1,51,Kahlotus,2021,75.7122651,0.24451559,0.219099708,1.665795191,0.182243929,0.112177232
AHR1,52,Kahlotus,2021,80.07679181,0.275831916,0.241962272,1.786617845,0.18118282,0.108191457
AHR1,53,Kahlotus,2021,54.07131453,0.22994465,0.198137017,1.613199347,0.169103704,0.103457639
AHR1,54,Kahlotus,2021,56.45095645,0.25278695,0.217830938,1.697399605,0.179482719,0.106622584
AHR1,55,Kahlotus,2021,61.40383541,0.25989362,0.225536621,1.728543219,0.173835298,0.107702068
AHR1,56,Kahlotus,2021,76.74074074,0.268839498,0.234586178,1.763338933,0.179736486,0.109851422
AHR1,57,Kahlotus,2021,67.66757071,0.255138303,0.223753311,1.707553438,0.186712703,0.110144207
AHR1,58,Kahlotus,2021,61.18490407,0.284837702,0.241406047,1.835374627,0.181661536,0.108503241
AHR1,59,Kahlotus,2021,64.09789644,0.243479889,0.213684975,1.665862155,0.187585673,0.105293201
AHR1,60,Kahlotus,2021,75.60435133,0.235378371,0.207101746,1.63051708,0.172608579,0.120372984
AHR1,61,Kahlotus,2021,75.71587951,0.29942827,0.256049826,1.896487231,0.182864183,0.106120971
AHR1,62,Kahlotus,2021,64.97646555,0.216098977,0.186480374,1.567306612,0.163907646,0.101646654
AHR1,63,Kahlotus,2021,69.10242872,0.223403121,0.194614459,1.589925773,0.171287342,0.106970369
AHR1,64,Kahlotus,2021,68.60179886,0.262796332,0.230001461,1.737269341,0.182473646,0.109509718
AHR1,65,Kahlotus,2021,70.61472641,0.248514032,0.221126603,1.681180275,0.185874548,0.104481335
AHR1,66,Kahlotus,2021,75.72815534,0.273759251,0.238139324,1.782338932,0.179319394,0.112770417
AHR1,67,Kahlotus,2021,77.57951901,0.255448527,0.227662435,1.706350887,0.170370133,0.113017736
AHR1,68,Kahlotus,2021,60.20389249,0.238549359,0.211649597,1.645431055,0.183920693,0.10562114
AHR1,69,Kahlotus,2021,66.51668541,0.26902172,0.237179316,1.766898748,0.19202138,0.108228117
AHR1,70,Kahlotus,2021,66.12333071,0.253991479,0.227843659,1.701735449,0.195739967,0.115702132
AHR1,71,Kahlotus,2021,52.8144686,0.243884352,0.210881535,1.668329507,0.181653428,0.101746243
AHR1,72,Kahlotus,2021,75.47974414,0.268673204,0.232649542,1.761779161,0.179808624,0.114803865
AHR1,73,Kahlotus,2021,56.80778032,0.237766594,0.20903985,1.645294244,0.183790887,0.104797174
AHR1,74,Kahlotus,2021,62.67080745,0.223870459,0.196600618,1.592075216,0.173413377,0.105516188
AHR1,75,Kahlotus,2021,61.36140075,0.229044425,0.199163077,1.611046087,0.176528275,0.106490516
AHR1,76,Kahlotus,2021,53.79241517,0.252302312,0.221395674,1.697171301,0.192255813,0.102929939
AHR1,77,Kahlotus,2021,68.80370126,0.232873883,0.203073165,1.622563268,0.181515887,0.108469044
AHR1,78,Kahlotus,2021,73.2391816,0.258326579,0.229848152,1.721893038,0.184558903,0.116756737
AHR1,79,Kahlotus,2021,69.44501331,0.254291052,0.22427064,1.703372421,0.176977588,0.103970645
AHR1,80,Kahlotus,2021,52.23463687,0.209431383,0.189226774,1.538892917,0.174117633,0.107797242
AHR1,81,Kahlotus,2021,65.2198528,0.245389406,0.215208855,1.669732655,0.177112028,0.111676024
AHR1,82,Kahlotus,2021,46.66240136,0.227537836,0.193559019,1.604637914,0.1716527,0.103976348
AHR1,83,Kahlotus,2021,56.86653772,0.228303763,0.205642018,1.609271212,0.176654272,0.104273847
AHR1,84,Kahlotus,2021,59.07769007,0.224315679,0.197492256,1.595013656,0.175587916,0.10146142
AHR1,85,Kahlotus,2021,64.46521288,0.26179087,0.225534432,1.737381953,0.183127811,0.105024762
AHR1,86,Kahlotus,2021,60.76938098,0.223796235,0.19921306,1.591615576,0.178300648,0.108603659
AHR1,87,Kahlotus,2021,71.73707142,0.239420394,0.210552735,1.648672686,0.168643026,0.117974614
AHR1,88,Kahlotus,2021,68.70607689,0.240971293,0.212934185,1.651374137,0.172227219,0.112953538
AHR1,89,Kahlotus,2021,55.47736782,0.272174681,0.232780414,1.779979524,0.174849373,0.106511463
AHR1,90,Kahlotus,2021,58.35059311,0.218508243,0.197615147,1.569692336,0.174432503,0.114835565
AHR1,91,Kahlotus,2021,60.47866805,0.208678726,0.191812992,1.536264128,0.178917074,0.114211611
AHR1,92,Kahlotus,2021,57.10654936,0.242579311,0.212485269,1.660149451,0.169030503,0.105204708
AHR1,93,Kahlotus,2021,59.64230171,0.229529507,0.206583418,1.611102881,0.179447623,0.114068008
AHR1,94,Kahlotus,2021,46.43143545,0.225303325,0.191434289,1.598083763,0.165167911,0.098726372
AHR1,95,Kahlotus,2021,71.11390812,0.230361088,0.207239613,1.614406959,0.163193065,0.109231087
AHR1,96,Kahlotus,2021,62.48025276,0.204387905,0.176663297,1.522835875,0.168671806,0.107003031
AHR1,97,Kahlotus,2021,76.95095434,0.275166422,0.238916727,1.792779959,0.176102088,0.10993929
AHR1,98,Kahlotus,2021,56.05975724,0.219379241,0.197484396,1.577836481,0.183289834,0.111542776
AHR1,99,Kahlotus,2021,51.31136516,0.247536033,0.214318043,1.684203269,0.178043991,0.104001079
AHR1,100,Kahlotus,2021,77.01537308,0.281906445,0.246045958,1.817170914,0.181618825,0.11425398
AHR1,101,Kahlotus,2021,57.64159703,0.235402248,0.202961014,1.634697199,0.173140601,0.104758458
AHR1,102,Kahlotus,2021,79.41282421,0.300457903,0.264787618,1.897739361,0.188368367,0.108971071
AHR1,103,Kahlotus,2021,66.25199929,0.272870432,0.239380712,1.776508893,0.194394632,0.11255363
AHR1,104,Kahlotus,2021,43.93939394,0.251663495,0.215066051,1.700127051,0.173273003,0.109371055
AHR1,105,Kahlotus,2021,71.43119603,0.254641919,0.223249061,1.705163328,0.178455621,0.123438493
AHR1,106,Kahlotus,2021,71.37022667,0.26370091,0.233734724,1.738973768,0.193316126,0.121552854
AHR1,107,Kahlotus,2021,67.22947045,0.224453236,0.197485799,1.592547612,0.169008564,0.103934605
AHR1,108,Kahlotus,2021,77.02528933,0.237917179,0.207659131,1.641108442,0.168857608,0.112966647
AWY1,1,Kahlotus,2021,75.62387702,0.295406327,0.260498969,1.877455184,0.190970979,0.114745991
AWY1,2,Kahlotus,2021,65.39389068,0.262928162,0.229862758,1.738734814,0.174800208,0.104677139
AWY1,3,Kahlotus,2021,53.19320938,0.242219212,0.215359853,1.660726604,0.184259668,0.103115773
AWY1,4,Kahlotus,2021,70.43356082,0.267179084,0.230026613,1.760025701,0.178203731,0.100698481
AWY1,5,Kahlotus,2021,60,0.240099047,0.214249293,1.650501956,0.180918427,0.115258466
AWY1,6,Kahlotus,2021,64.52082197,0.254038404,0.218569099,1.705460466,0.17500237,0.10352327
AWY1,7,Kahlotus,2021,43.51308062,0.212206168,0.186261708,1.552470499,0.172022947,0.101659391
AWY1,8,Kahlotus,2021,74.33085502,0.274316944,0.237421842,1.781864446,0.179180141,0.10163414
AWY1,9,Kahlotus,2021,65.30335336,0.254923238,0.219883501,1.709973468,0.179886747,0.103858908
AWY1,10,Kahlotus,2021,68.53146853,0.235485987,0.204367978,1.631637317,0.17040087,0.111455556
AWY1,11,Kahlotus,2021,79.65844402,0.27577226,0.239315484,1.788284048,0.179009582,0.110487739
AWY1,12,Kahlotus,2021,75.66037736,0.289672959,0.253674711,1.850073016,0.184065544,0.105963285
AWY1,13,Kahlotus,2021,60.43921069,0.284315366,0.245334252,1.83780634,0.180287682,0.098708331
AWY1,14,Kahlotus,2021,62.31078751,0.266494986,0.232099196,1.752030943,0.169263293,0.099253629
AWY1,15,Kahlotus,2021,74.53557659,0.259989213,0.226453101,1.73010427,0.175595351,0.103860944
AWY1,16,Kahlotus,2021,82.91321916,0.237600559,0.21293685,1.638284188,0.172113861,0.107118481
AWY1,17,Kahlotus,2021,70.21354934,0.268330168,0.236650958,1.764326566,0.182154494,0.109727662
AWY1,18,Kahlotus,2021,69.57478006,0.279200928,0.24397343,1.811475242,0.175654086,0.101815387
AWY1,19,Kahlotus,2021,82.79009126,0.304493392,0.265410566,1.914457099,0.185932925,0.108514637
AWY1,20,Kahlotus,2021,59.39439534,0.281856585,0.239419086,1.823876762,0.180904671,0.102612188
AWY1,21,Kahlotus,2021,74.44917608,0.289001015,0.247612749,1.844497334,0.172592009,0.104942595
AWY1,22,Kahlotus,2021,75.55595733,0.266520068,0.228117853,1.75609758,0.180837549,0.113327701
AWY1,23,Kahlotus,2021,63.515625,0.2416076,0.210718821,1.652870276,0.176988828,0.103240879
AWY1,24,Kahlotus,2021,36.73012318,0.231391219,0.191291174,1.62088747,0.160711384,0.092924333
AWY1,25,Kahlotus,2021,80.57596822,0.291951993,0.248279575,1.861235403,0.174994055,0.099232794
AWY1,26,Kahlotus,2021,69.04453091,0.280995115,0.239754314,1.813438857,0.177795186,0.107070078
AWY1,27,Kahlotus,2021,72.83397354,0.275909096,0.239717071,1.791914675,0.189216413,0.106053425
AWY1,28,Kahlotus,2021,72.36389944,0.253214681,0.217992977,1.701731137,0.183744571,0.110077948
AWY1,29,Kahlotus,2021,42.98651252,0.235394432,0.19696077,1.643880591,0.164282448,0.105204715
AWY1,30,Kahlotus,2021,60.22378632,0.264156611,0.229709867,1.751446367,0.186611333,0.113362011
AWY1,31,Kahlotus,2021,65.5849359,0.253004814,0.222045978,1.701339197,0.180304512,0.107262245
AWY1,32,Kahlotus,2021,74.9329519,0.264450753,0.230937571,1.743666371,0.177954237,0.10789094
AWY1,33,Kahlotus,2021,70.85312225,0.26717463,0.227553755,1.754910874,0.17599774,0.09724443
AWY1,34,Kahlotus,2021,66.73420519,0.261339072,0.224809674,1.738786952,0.182984264,0.111375677
AWY1,35,Kahlotus,2021,70.32734952,0.303934467,0.259417522,1.925112003,0.183766135,0.098121259
AWY1,36,Kahlotus,2021,43.14827829,0.264255878,0.222010648,1.753671919,0.176004378,0.102696198
AWY1,37,Kahlotus,2021,87.38945879,0.27483076,0.239098466,1.782772384,0.184784513,0.107796218
AWY1,38,Kahlotus,2021,74.02464066,0.271040258,0.230698505,1.774685041,0.181999855,0.112901126
AWY1,39,Kahlotus,2021,73.2748538,0.279967582,0.239481799,1.809179484,0.181097005,0.103036125
AWY1,40,Kahlotus,2021,51.22869955,0.268408592,0.227733336,1.766304108,0.190195587,0.093321838
AWY1,41,Kahlotus,2021,47.04926909,0.236318234,0.200333314,1.641336952,0.166231907,0.092282612
AWY1,42,Kahlotus,2021,75.710254,0.276660533,0.239277939,1.793912888,0.172931302,0.102306151
AWY1,43,Kahlotus,2021,81.67092924,0.315759445,0.274813036,1.961189429,0.190900166,0.106977154
AWY1,44,Kahlotus,2021,67.10549724,0.268683171,0.232095659,1.7657004,0.184673875,0.10934487
AWY1,45,Kahlotus,2021,59.53994294,0.2708903,0.230273636,1.779122779,0.178218527,0.104899756
AWY1,46,Kahlotus,2021,58.98429928,0.251449884,0.219472196,1.698064962,0.195144661,0.114484467
AWY1,47,Kahlotus,2021,77.30309423,0.28880032,0.249267813,1.85090172,0.180120255,0.105970037
AWY1,48,Kahlotus,2021,83.48050037,0.309669694,0.262719868,1.937218987,0.187289305,0.10376366
AWY1,49,Kahlotus,2021,87.76521912,0.277775172,0.242054134,1.795751883,0.184754095,0.112436368
AWY1,50,Kahlotus,2021,76.59090909,0.238882768,0.208633862,1.644600712,0.176654162,0.112107911
AWY1,51,Kahlotus,2021,65.21976026,0.266433573,0.230094372,1.757980874,0.182528949,0.1053321
AWY1,52,Kahlotus,2021,70.90128755,0.27806887,0.236146315,1.813061926,0.17029812,0.103651131
AWY1,53,Kahlotus,2021,70.73007368,0.276299378,0.236336703,1.794121831,0.183323735,0.108551759
AWY1,54,Kahlotus,2021,82.16700164,0.302812737,0.260444021,1.911537268,0.189274781,0.107504931
AWY1,55,Kahlotus,2021,69.02637319,0.265267673,0.2246522,1.749762275,0.172513239,0.101971204
AWY1,56,Kahlotus,2021,74.11488439,0.300195945,0.258200972,1.896924749,0.181283026,0.094109752
AWY1,57,Kahlotus,2021,61.74741537,0.263975373,0.225601164,1.75074635,0.18143917,0.097725091
AWY1,58,Kahlotus,2021,72.48957939,0.260465375,0.223134541,1.730406071,0.173332387,0.109692739
AWY1,59,Kahlotus,2021,53.80116959,0.219826527,0.191560279,1.577552151,0.175633351,0.114384938
AWY1,60,Kahlotus,2021,69.14562435,0.269370946,0.232921,1.769662541,0.171894535,0.108363367
AWY1,61,Kahlotus,2021,63.73546512,0.251552528,0.21375467,1.69834329,0.168736696,0.104550751
AWY1,62,Kahlotus,2021,79.65443603,0.267636698,0.230370011,1.757035405,0.186079079,0.107224099
AWY1,63,Kahlotus,2021,66.5279879,0.273807429,0.238232055,1.788090274,0.192363285,0.104306296
AWY1,64,Kahlotus,2021,64.61628588,0.242189814,0.208405339,1.659484185,0.172096601,0.104972224
AWY1,65,Kahlotus,2021,81.56996587,0.291474521,0.253705892,1.849367898,0.176196351,0.10378946
AWY1,66,Kahlotus,2021,67.98375185,0.276821454,0.237246627,1.80026022,0.181436437,0.102850063
AWY1,67,Kahlotus,2021,61.42344498,0.255243056,0.222226276,1.71032877,0.196292296,0.110613497
AWY1,68,Kahlotus,2021,29.42712868,0.244167886,0.200943139,1.671949937,0.169437323,0.098592237
AWY1,69,Kahlotus,2021,52.66889896,0.237228965,0.19662869,1.643435083,0.164634452,0.099422891
AWY1,70,Kahlotus,2021,67.38100144,0.250616214,0.217586493,1.690351681,0.18146212,0.110291613
AWY1,71,Kahlotus,2021,64.37275986,0.28999427,0.244696439,1.857651779,0.179887296,0.102977623
AWY1,72,Kahlotus,2021,67.04483074,0.270420311,0.230439755,1.772139455,0.17821428,0.098384838
AWY1,73,Kahlotus,2021,54.01683244,0.267448025,0.229398469,1.759988691,0.173049738,0.103062356
AWY1,74,Kahlotus,2021,61.20845921,0.24783195,0.212944303,1.683494956,0.180350719,0.111938459
AWY1,75,Kahlotus,2021,70.5480751,0.24995548,0.215014565,1.689923238,0.175429571,0.114468594
AWY1,76,Kahlotus,2021,77.36831147,0.272020141,0.232245545,1.77339545,0.183370251,0.111584218
AWY1,77,Kahlotus,2021,64.75985943,0.270330397,0.229447497,1.776343856,0.174575913,0.102620795
AWY1,78,Kahlotus,2021,66.83006536,0.274854375,0.232446379,1.792386405,0.181472516,0.102047017
AWY1,79,Kahlotus,2021,71.41013825,0.260519846,0.225233325,1.733683877,0.183245552,0.109684679
AWY1,80,Kahlotus,2021,81.66972852,0.283637204,0.245944769,1.826287379,0.185237452,0.104050663
AWY1,81,Kahlotus,2021,67.4796748,0.265339912,0.228671167,1.753551687,0.177134765,0.111166596
AWY1,82,Kahlotus,2021,74.30188679,0.269993469,0.232743014,1.769159276,0.176430883,0.10777386
AWY1,83,Kahlotus,2021,75.74511819,0.292057889,0.253495888,1.861052701,0.19142427,0.110313907
AWY1,84,Kahlotus,2021,78.44879822,0.278796534,0.238962859,1.80710231,0.178139584,0.10487559
AWY1,85,Kahlotus,2021,36.42499456,0.229253241,0.190998529,1.617695895,0.174943548,0.104083928
AWY1,86,Kahlotus,2021,64.62962963,0.263562906,0.222308883,1.747679357,0.176745759,0.107858491
AWY1,87,Kahlotus,2021,83.8657501,0.297054813,0.255976736,1.881639871,0.184981193,0.106900159
AWY1,88,Kahlotus,2021,48.8074588,0.251476811,0.211104497,1.700484934,0.172495823,0.0985386
AWY1,89,Kahlotus,2021,33.27102804,0.252794236,0.210684791,1.707534942,0.176305707,0.09942872
AWY1,90,Kahlotus,2021,70.81213492,0.266910371,0.233155348,1.758752874,0.185448211,0.119125403
AWY1,91,Kahlotus,2021,67.82761653,0.217300488,0.189175444,1.569372591,0.164528811,0.107548171
AWY1,92,Kahlotus,2021,78.43097913,0.296809818,0.253735979,1.88327954,0.185878855,0.108032155
AWY1,93,Kahlotus,2021,57.08676875,0.256274317,0.220027657,1.715269886,0.183041135,0.111421296
AWY1,94,Kahlotus,2021,59.94560995,0.242555146,0.21213074,1.661304475,0.182286003,0.117051847
AWY1,95,Kahlotus,2021,77.87610619,0.267371555,0.233127319,1.757732813,0.182135355,0.114678042
AWY1,96,Kahlotus,2021,63.77660613,0.261478603,0.227130307,1.740259201,0.181757443,0.11064565
AWY1,97,Kahlotus,2021,74.37206453,0.277514929,0.241659435,1.805745303,0.193993597,0.113933546
AWY1,98,Kahlotus,2021,73.02369668,0.289081327,0.248432504,1.856426906,0.18460608,0.111495712
AWY1,99,Kahlotus,2021,76.28466162,0.283325504,0.240869367,1.826086027,0.187555932,0.118613194
AWY1,100,Kahlotus,2021,62.05782313,0.264164763,0.224588466,1.747083297,0.176430365,0.107164674
AWY1,101,Kahlotus,2021,44.25806452,0.245718204,0.208551445,1.679415026,0.180369955,0.109563352
AWY1,102,Kahlotus,2021,79.56514354,0.28591076,0.247842773,1.837329395,0.18351565,0.113735388
AWY1,103,Kahlotus,2021,68.75456538,0.259284173,0.22275162,1.7274279,0.182802484,0.110514812
AWY1,104,Kahlotus,2021,37.7462569,0.247143418,0.205926014,1.687573171,0.165822898,0.103428305
AWY1,105,Kahlotus,2021,70.12345679,0.293550919,0.25189397,1.873119442,0.180552503,0.097745628
AWY1,106,Kahlotus,2021,76.42533044,0.285559671,0.244629593,1.837310053,0.189355375,0.108774955
AWY1,107,Kahlotus,2021,68.70954693,0.251775457,0.218310652,1.698131093,0.179405241,0.122048981
AWY1,108,Kahlotus,2021,82.53059613,0.313116677,0.268021027,1.955778555,0.18693986,0.110560559
AWY1,109,Kahlotus,2021,77.23004695,0.276462595,0.23843036,1.795026941,0.182079007,0.116463292
AWY1,110,Kahlotus,2021,74.42859934,0.235542044,0.204661109,1.633567227,0.181673558,0.117567263
AWY1,111,Kahlotus,2021,85.45629203,0.255385708,0.225577057,1.707219681,0.182692139,0.110631699
AWY1,112,Kahlotus,2021,85.5675984,0.270050266,0.235580981,1.765776513,0.183764864,0.127519775
AWY1,113,Kahlotus,2021,83.22908522,0.266172921,0.230238984,1.748849352,0.191124002,0.120240298
AWY1,114,Kahlotus,2021,61.19462818,0.250912308,0.221974041,1.695947176,0.18889415,0.116144079
AWY1,115,Kahlotus,2021,80.58030615,0.29600624,0.251947231,1.881568781,0.19154346,0.112946625
AWY1,116,Kahlotus,2021,82.06062932,0.329626874,0.282569269,2.037047314,0.195790513,0.104168364
AWY1,117,Kahlotus,2021,39.47144075,0.270873646,0.228384438,1.779273407,0.176054351,0.102049612
AWY1,118,Kahlotus,2021,50.18064271,0.261304065,0.218915041,1.735261511,0.172853868,0.10013226
AWY1,119,Kahlotus,2021,80.5921681,0.315790468,0.272437749,1.95790602,0.187087197,0.108219954
AWY1,120,Kahlotus,2021,51.92646196,0.250279948,0.209688918,1.69697213,0.165717786,0.098644048
AWY1,121,Kahlotus,2021,55.75513196,0.260185052,0.221557333,1.737087374,0.175684766,0.09812223
AWY1,122,Kahlotus,2021,81.09339408,0.293652934,0.252306764,1.866169595,0.183421236,0.103365161
AWY1,123,Kahlotus,2021,54.8890222,0.258191415,0.220673984,1.722822053,0.181046077,0.111098406
AWY1,124,Kahlotus,2021,70.32428356,0.295975615,0.253044504,1.887101785,0.181514077,0.105103237
AWY1,125,Kahlotus,2021,73.72815534,0.322884055,0.276187574,2.010132303,0.187369098,0.107316044
AWY1,126,Kahlotus,2021,70.4196933,0.288644675,0.246272776,1.85379177,0.183855361,0.106881889
AWY1,127,Kahlotus,2021,78.66518354,0.294714895,0.254898792,1.880969655,0.194751024,0.112578573
AWY1,128,Kahlotus,2021,79.91299414,0.288479994,0.249351802,1.849663001,0.184377012,0.109185973
AWY1,129,Kahlotus,2021,80.16010385,0.284650476,0.244346863,1.838039033,0.186620933,0.104879816
AWY1,130,Kahlotus,2021,86.43746045,0.292884858,0.252823549,1.871468862,0.186664899,0.109452377
AWY1,131,Kahlotus,2021,83.63471971,0.300294686,0.2592903,1.893155005,0.187313717,0.10521682
